,sensor_id,lat,lon
8331,20118,42.716,23.305999999999997
8350,1471,42.644,23.336
8392,5293,42.693999999999996,23.34
8401,4414,42.67,23.398000000000003
8411,7835,42.658,23.298000000000002
8450,6127,42.672,23.256
8478,10098,42.656000000000006,23.374000000000002
8493,7743,42.706,23.328000000000003
8496,2322,42.68600000000001,23.4
8547,11681,42.64,23.31
8572,22646,42.726000000000006,23.268
8616,6781,42.67,23.284000000000002
8630,9461,42.66,23.261999999999997
8703,6731,42.674,23.256
8755,12794,42.666000000000004,23.296
8771,2039,42.68600000000001,23.35
8801,21227,42.658,23.302
8812,21231,42.672,23.316
14051,25317,42.71023877,23.31435889
14768,12218,42.646,23.344
52289,20112,42.711999999999996,23.35
60677,21010,42.714,23.274
156810,22650,42.646,23.4
270038,5499,42.7,23.304000000000002
357636,23175,42.652,23.331999999999997
609799,9276,42.678000000000004,23.244
643515,11606,42.706,23.351999999999997
813179,9866,42.68600000000001,23.241999999999997
822356,11336,42.676,23.331999999999997
873096,7623,42.698,23.336
968392,20020,42.693999999999996,23.318
1397112,2233,42.68600000000001,23.355999999999998
1455325,3641,42.6939572,23.3599283
1505573,3511,42.681999999999995,23.334
2696576,4620,42.688,23.318
3499252,24855,42.64285762,23.40946466
4143411,10607,42.652,23.368000000000002
8014257,11831,42.68600000000001,23.298000000000002
8900710,2215,42.663999999999994,23.372
9069796,28609,42.674,23.354
11695190,28625,42.668,23.364
13604091,20621,42.67,23.354
13772722,6350,42.678000000000004,23.3
16531903,6043,42.66,23.276
21895072,28716,42.648,23.326
23173700,27059,42.669431,23.2333509
23951338,3759,42.68600000000001,23.252
28353640,28764,42.666000000000004,23.28
30452618,24583,42.72694123,23.33974584
34102629,3091,42.6657,23.2844
34241422,12399,42.684,23.26
37175820,28864,42.646,23.374000000000002
38812387,9202,42.653999999999996,23.261999999999997
40490449,28910,42.641999999999996,23.31
41835860,9001,42.728,23.256
42899549,10021,42.711999999999996,23.37
44705579,10943,42.656000000000006,23.37
44789001,19988,42.706,23.281999999999996
45143962,3981,42.653999999999996,23.33
48108409,5906,42.68,23.328000000000003
49974502,21878,42.70399999999999,23.28
50459725,6139,42.663999999999994,23.284000000000002
58546310,8542,42.658,23.38
78272726,29196,42.641999999999996,23.381999999999998
93826001,6967,42.644,23.27
99222067,29334,42.68651285,23.34807694
107615786,29428,42.641999999999996,23.366
112854677,11913,42.676,23.284000000000002
121022918,29530,42.668,23.344
142226210,6087,42.68600000000001,23.354
152792209,2035,42.658,23.35
156419629,5563,42.70399999999999,23.304000000000002
